Date,A1,A2,A3,R1,R2,R3,M1,M2,M3,P1,P2,P3,D1,A1_lag1,A1_lag2,A1_lag3,A1_lag4,A1_lag8,A1_lag12,A1_rolling_mean_4,A1_rolling_std_4,A1_rolling_mean_8,A1_rolling_std_8,A1_rolling_mean_12,A1_rolling_std_12,A1_diff_1,A1_diff_4,A1_pct_change_1,A1_pct_change_4,month,quarter,year,week_of_year,month_sin,month_cos,R1_lag1,M1_lag1,P1_lag1,D1_lag1,target
1995-03-27,1.121,1.102,1.198,1.075,1.063,1.138,1.162,1.153,1.265,1.259,1.241,1.349,1.088,1.114,1.116,1.123,1.121,1.131,1.127,1.1185,0.004203173404305871,1.120625,0.005629958132298049,1.1236666666666666,0.006665151342936012,0.006999999999999895,0.0,0.006283662477558183,0.0,3,1,1995,13,1.0,6.123233995736766e-17,1.068,1.158,1.254,1.085,1.133
1995-04-03,1.133,1.116,1.198,1.087,1.077,1.14,1.174,1.167,1.266,1.27,1.255,1.35,1.094,1.121,1.114,1.116,1.123,1.124,1.134,1.1185,0.004203173404305871,1.119375,0.0038149143409219343,1.1231666666666666,0.006617241025372889,0.01200000000000001,0.010000000000000009,0.01070472792149868,0.008904719501335645,4,2,1995,14,0.8660254037844388,-0.4999999999999998,1.075,1.162,1.259,1.088,1.149
1995-04-10,1.149,1.134,1.207,1.103,1.094,1.149,1.19,1.186,1.273,1.286,1.273,1.357,1.101,1.133,1.121,1.114,1.116,1.121,1.126,1.121,0.008524474568362816,1.1205,0.006047431568147645,1.1230833333333334,0.0064731379679035675,0.016000000000000014,0.03299999999999992,0.014121800529567574,0.029569892473118253,4,2,1995,15,0.8660254037844388,-0.4999999999999998,1.087,1.174,1.27,1.094,1.163
1995-04-17,1.163,1.149,1.215,1.117,1.11,1.16,1.205,1.201,1.278,1.3,1.29,1.361,1.106,1.149,1.133,1.121,1.114,1.115,1.132,1.12925,0.015326991442114923,1.124,0.011771636613972927,1.125,0.009908673886137241,0.014000000000000012,0.04899999999999993,0.012184508268059169,0.04398563734290839,4,2,1995,16,0.8660254037844388,-0.4999999999999998,1.103,1.19,1.286,1.101,1.184
1995-04-24,1.184,1.173,1.231,1.138,1.133,1.176,1.226,1.224,1.291,1.323,1.315,1.377,1.115,1.163,1.149,1.133,1.121,1.121,1.131,1.1415,0.018357559750685707,1.1300000000000001,0.017410998166183786,1.1275833333333334,0.014755327748636991,0.020999999999999908,0.06299999999999994,0.018056749785038573,0.05619982158786785,4,2,1995,17,0.8660254037844388,-0.4999999999999998,1.117,1.205,1.3,1.106,1.194
1995-05-01,1.194,1.181,1.242,1.148,1.141,1.188,1.236,1.234,1.305,1.332,1.323,1.389,1.119,1.184,1.163,1.149,1.133,1.123,1.124,1.15725,0.021639085008382034,1.137875,0.025244164813731734,1.132,0.022016522721067255,0.010000000000000009,0.06099999999999994,0.008445945945946054,0.053839364518976085,5,2,1995,18,0.49999999999999994,-0.8660254037844387,1.138,1.226,1.323,1.115,1.216
1995-05-08,1.216,1.204,1.261,1.169,1.164,1.205,1.259,1.257,1.324,1.356,1.349,1.408,1.126,1.194,1.184,1.163,1.149,1.116,1.121,1.1724999999999999,0.020305992547356634,1.14675,0.031074794563164018,1.1378333333333333,0.028129031697561514,0.02200000000000002,0.06699999999999995,0.018425460636515956,0.05831157528285469,5,2,1995,19,0.49999999999999994,-0.8660254037844387,1.148,1.236,1.332,1.119,1.226
1995-05-15,1.226,1.213,1.273,1.179,1.173,1.215,1.269,1.267,1.334,1.364,1.357,1.418,1.126,1.216,1.194,1.184,1.163,1.114,1.115,1.18925,0.02202082347839478,1.1592500000000001,0.036565987318427716,1.14575,0.03539163999899092,0.010000000000000009,0.06299999999999994,0.008223684210526327,0.05417024935511594,5,2,1995,20,0.49999999999999994,-0.8660254037844387,1.169,1.259,1.356,1.126,1.244
1995-05-22,1.244,1.232,1.285,1.197,1.191,1.233,1.288,1.285,1.344,1.383,1.376,1.429,1.124,1.226,1.216,1.194,1.184,1.121,1.121,1.2049999999999998,0.0193563081879425,1.17325,0.03817160500386921,1.155,0.04072747564884497,0.018000000000000016,0.06000000000000005,0.014681892332789603,0.05067567567567566,5,2,1995,21,0.49999999999999994,-0.8660254037844387,1.179,1.269,1.364,1.126,1.246
1995-05-29,1.246,1.234,1.291,1.199,1.193,1.239,1.29,1.288,1.351,1.386,1.379,1.435,1.13,1.244,1.226,1.216,1.194,1.133,1.123,1.22,0.020848661028147534,1.188625,0.03888421457168865,1.1652500000000001,0.046466263421579536,0.0020000000000000018,0.052000000000000046,0.001607717041800738,0.04355108877721947,5,2,1995,22,0.49999999999999994,-0.8660254037844387,1.197,1.288,1.383,1.124,1.246
